stratum,treatment,outcome
low_intent,0,1
low_intent,0,1
low_intent,0,1
low_intent,0,1
low_intent,0,1
low_intent,0,1
low_intent,0,1
low_intent,0,1
low_intent,0,1
low_intent,0,1
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,0,0
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,1
low_intent,1,0
low_intent,1,0
low_intent,1,0
low_intent,1,0
low_intent,1,0
low_intent,1,0
low_intent,1,0
low_intent,1,0
low_intent,1,0
low_intent,1,0
